plotName,treatmentName,mean ndvi,max crop height m nir-based
1306,NAM-46,0.8466575741767883,0.8103489916601347
1206,NAM-46,0.8255478739738464,0.39929070227077545
1101,NAM-46,0.8260074853897095,
S1306,NAM-46,0.8421170115470886,0.7590994422715198
1206,NAM-46,0.8255478739738464,0.39929070227077545
S1101,NAM-46,0.8241876363754272,0.6084865638237034
1306,NAM-46,0.8466575741767883,0.8103489916601347
1209,NAM-29,0.8065128922462463,0.6993490077119873
1209,NAM-29,0.8065128922462463,0.6993490077119873
1324,NAM-29,0.7929300665855408,0.5630897977191012
1126,NAM-29,0.8042710423469543,0.7875351779336484
1209,NAM-29,0.8065128922462463,0.6993490077119873
1324,NAM-29,0.7929300665855408,0.5630897977191012
1209,NAM-29,0.8065128922462463,0.6993490077119873
1324,NAM-29,0.7929300665855408,0.5630897977191012
1324,NAM-29,0.7929300665855408,0.5630897977191012
1126,NAM-29,0.8042710423469543,0.7875351779336484
